Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
341,67,ARC,Q27,QRLAB_27L7_X43,4,53,7,0.39,41,9,LBARB_27L7_EH843,LBARB_27L7_TT843,QRLAB_27L7_CV943,0,QRLAA_25L7_PT961,QRLAA_25L7_PT991,QRLAB_27L7_TT943,QRLAA_25L7_TT961,QRLAB_27L7_QBS943,QRLAB_27L7_FT943,LBARB_27L7_TC843,QRLAB_27L7_TC943
342,67,ARC,Q26,QRLAA_25L7_X47,4,53,7,0.39,55,8,LQOBB_26L7_EH847,LQOBB_26L7_TT847,QRLAA_25L7_CV947,0,QRLAA_25L7_PT961,QRLAA_25L7_PT991,QRLAA_25L7_TT947,QRLAA_25L7_TT961,QRLAA_25L7_QBS947,QRLAA_25L7_FT947,LQOBB_26L7_TC847,QRLAA_25L7_TC947
343,67,ARC,Q25,QRLAA_25L7_X43,4,53,7,0.39,36,8,LBARB_25L7_EH843,LBARB_25L7_TT843,QRLAA_25L7_CV943,0,QRLAA_25L7_PT961,QRLAA_25L7_PT991,QRLAA_25L7_TT943,QRLAA_25L7_TT961,QRLAA_25L7_QBS943,QRLAA_25L7_FT943,LBARB_25L7_TC843,QRLAA_25L7_TC943
344,67,ARC,Q24,QRLAB_23L7_X47,4,53,7,0.39,36,8,LQOBB_24L7_EH847,LQOBB_24L7_TT847,QRLAB_23L7_CV947,0,QRLAA_25L7_PT961,QRLAA_25L7_PT991,QRLAB_23L7_TT947,QRLAA_25L7_TT961,QRLAB_23L7_QBS947,QRLAB_23L7_FT947,LQOBB_24L7_TC847,QRLAB_23L7_TC947
345,67,ARC,Q23,QRLAB_23L7_X43,4,53,7,0.39,39,8,LBARB_23L7_EH843,LBARB_23L7_TT843,QRLAB_23L7_CV943,0,QRLAA_21L7_PT961,QRLAA_21L7_PT991,QRLAB_23L7_TT943,QRLAA_21L7_TT961,QRLAB_23L7_QBS943,QRLAB_23L7_FT943,LBARB_23L7_TC843,QRLAB_23L7_TC943
346,67,ARC,Q22,QRLAA_21L7_X47,4,53,7,0.39,34,8,LQOBB_22L7_EH847,LQOBB_22L7_TT847,QRLAA_21L7_CV947,0,QRLAA_21L7_PT961,QRLAA_21L7_PT991,QRLAA_21L7_TT947,QRLAA_21L7_TT961,QRLAA_21L7_QBS947,QRLAA_21L7_FT947,LQOBB_22L7_TC847,QRLAA_21L7_TC947
347,67,ARC,Q21,QRLAA_21L7_X43,4,53,7,0.39,40,9,LBARB_21L7_EH843,LBARB_21L7_TT843,QRLAA_21L7_CV943,0,QRLAA_21L7_PT961,QRLAA_21L7_PT991,QRLAA_21L7_TT943,QRLAA_21L7_TT961,QRLAA_21L7_QBS943,QRLAA_21L7_FT943,LBARB_21L7_TC843,QRLAA_21L7_TC943
348,67,ARC,Q20,QRLAB_19L7_X47,4,53,7,0.39,40,8,LQATT_20L7_EH847,LQATT_20L7_TT847,QRLAB_19L7_CV947,0,QRLAA_21L7_PT961,QRLAA_21L7_PT991,QRLAB_19L7_TT947,QRLAA_21L7_TT961,QRLAB_19L7_QBS947,QRLAB_19L7_FT947,LQATT_20L7_TC847,QRLAB_19L7_TC947
349,67,ARC,Q19,QRLAB_19L7_X43,4,53,7,0.39,36,8,LBARB_19L7_EH843,LBARB_19L7_TT843,QRLAB_19L7_CV943,0,QRLAA_17L7_PT961,QRLAA_17L7_PT991,QRLAB_19L7_TT943,QRLAA_17L7_TT961,QRLAB_19L7_QBS943,QRLAB_19L7_FT943,LBARB_19L7_TC843,QRLAB_19L7_TC943
350,67,ARC,Q18,QRLAA_17L7_X47,4,53,7,0.39,39,9,LQATT_18L7_EH847,LQATT_18L7_TT847,QRLAA_17L7_CV947,0,QRLAA_17L7_PT961,QRLAA_17L7_PT991,QRLAA_17L7_TT947,QRLAA_17L7_TT961,QRLAA_17L7_QBS947,QRLAA_17L7_FT947,LQATT_18L7_TC847,QRLAA_17L7_TC947
