Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
455,81,ARC,Q33,QRLAA_33L1_X43,4,53,7,0.39,37,9,LBALB_33L1_EH843,LBALB_33L1_TT843,QRLAA_33L1_CV943,0,QRLAA_33L1_PT961,QRLAA_33L1_PT991,QRLAA_33L1_TT943,QRLAA_33L1_TT961,QRLAA_33L1_QBS943,QRLAA_33L1_FT943,LBALB_33L1_TC843,QRLAA_33L1_TC943
456,81,ARC,Q32,QRLAB_31L1_X47,4,53,7,0.39,35,9,LQOAN_32L1_EH847,LQOAN_32L1_TT847,QRLAB_31L1_CV947,0,QRLAA_33L1_PT961,QRLAA_33L1_PT991,QRLAB_31L1_TT947,QRLAA_33L1_TT961,QRLAB_31L1_QBS947,QRLAB_31L1_FT947,LQOAN_32L1_TC847,QRLAB_31L1_TC947
457,81,ARC,Q31,QRLAB_31L1_X43,4,53,7,0.39,34,8,LBALB_31L1_EH843,LBALB_31L1_TT843,QRLAB_31L1_CV943,0,QRLAA_29L1_PT961,QRLAA_29L1_PT991,QRLAB_31L1_TT943,QRLAA_29L1_TT961,QRLAB_31L1_QBS943,QRLAB_31L1_FT943,LBALB_31L1_TC843,QRLAB_31L1_TC943
458,81,ARC,Q30,QRLAA_29L1_X47,4,53,7,0.39,34,8,LQOAH_30L1_EH847,LQOAH_30L1_TT847,QRLAA_29L1_CV947,0,QRLAA_29L1_PT961,QRLAA_29L1_PT991,QRLAA_29L1_TT947,QRLAA_29L1_TT961,QRLAA_29L1_QBS947,QRLAA_29L1_FT947,LQOAH_30L1_TC847,QRLAA_29L1_TC947
459,81,ARC,Q29,QRLAA_29L1_X43,4,53,7,0.39,43,9,LBALB_29L1_EH843,LBALB_29L1_TT843,QRLAA_29L1_CV943,0,QRLAA_29L1_PT961,QRLAA_29L1_PT991,QRLAA_29L1_TT943,QRLAA_29L1_TT961,QRLAA_29L1_QBS943,QRLAA_29L1_FT943,LBALB_29L1_TC843,QRLAA_29L1_TC943
460,81,ARC,Q28,QRLAB_27L1_X47,4,53,7,0.39,42,9,LQOAN_28L1_EH847,LQOAN_28L1_TT847,QRLAB_27L1_CV947,0,QRLAA_29L1_PT961,QRLAA_29L1_PT991,QRLAB_27L1_TT947,QRLAA_29L1_TT961,QRLAB_27L1_QBS947,QRLAB_27L1_FT947,LQOAN_28L1_TC847,QRLAB_27L1_TC947
461,81,ARC,Q27,QRLAB_27L1_X43,4,53,7,0.39,33,9,LBALB_27L1_EH843,LBALB_27L1_TT843,QRLAB_27L1_CV943,0,QRLAA_25L1_PT961,QRLAA_25L1_PT991,QRLAB_27L1_TT943,QRLAA_25L1_TT961,QRLAB_27L1_QBS943,QRLAB_27L1_FT943,LBALB_27L1_TC843,QRLAB_27L1_TC943
462,81,ARC,Q26,QRLAA_25L1_X47,4,53,7,0.39,36,9,LQOAH_26L1_EH847,LQOAH_26L1_TT847,QRLAA_25L1_CV947,0,QRLAA_25L1_PT961,QRLAA_25L1_PT991,QRLAA_25L1_TT947,QRLAA_25L1_TT961,QRLAA_25L1_QBS947,QRLAA_25L1_FT947,LQOAH_26L1_TC847,QRLAA_25L1_TC947
463,81,ARC,Q25,QRLAA_25L1_X43,4,53,7,0.39,40,9,LBALB_25L1_EH843,LBALB_25L1_TT843,QRLAA_25L1_CV943,0,QRLAA_25L1_PT961,QRLAA_25L1_PT991,QRLAA_25L1_TT943,QRLAA_25L1_TT961,QRLAA_25L1_QBS943,QRLAA_25L1_FT943,LBALB_25L1_TC843,QRLAA_25L1_TC943
464,81,ARC,Q24,QRLAB_23L1_X47,4,53,7,0.39,42,9,LQOAH_24L1_EH847,LQOAH_24L1_TT847,QRLAB_23L1_CV947,0,QRLAA_25L1_PT961,QRLAA_25L1_PT991,QRLAB_23L1_TT947,QRLAA_25L1_TT961,QRLAB_23L1_QBS947,QRLAB_23L1_FT947,LQOAH_24L1_TC847,QRLAB_23L1_TC947
465,81,ARC,Q23,QRLAB_23L1_X43,4,53,7,0.39,32,9,LBALB_23L1_EH843,LBALB_23L1_TT843,QRLAB_23L1_CV943,0,QRLAA_21L1_PT961,QRLAA_21L1_PT991,QRLAB_23L1_TT943,QRLAA_21L1_TT961,QRLAB_23L1_QBS943,QRLAB_23L1_FT943,LBALB_23L1_TC843,QRLAB_23L1_TC943
466,81,ARC,Q22,QRLAA_21L1_X47,4,53,7,0.39,58,9,LQOAH_22L1_EH847,LQOAH_22L1_TT847,QRLAA_21L1_CV947,0,QRLAA_21L1_PT961,QRLAA_21L1_PT991,QRLAA_21L1_TT947,QRLAA_21L1_TT961,QRLAA_21L1_QBS947,QRLAA_21L1_FT947,LQOAH_22L1_TC847,QRLAA_21L1_TC947
467,81,ARC,Q21,QRLAA_21L1_X43,4,53,7,0.39,40,10,LBALB_21L1_EH843,LBALB_21L1_TT843,QRLAA_21L1_CV943,0,QRLAA_21L1_PT961,QRLAA_21L1_PT991,QRLAA_21L1_TT943,QRLAA_21L1_TT961,QRLAA_21L1_QBS943,QRLAA_21L1_FT943,LBALB_21L1_TC843,QRLAA_21L1_TC943
468,81,ARC,Q20,QRLAB_19L1_X47,4,53,7,0.39,34,6,LQATI_20L1_EH847,LQATI_20L1_TT847,QRLAB_19L1_CV947,0,QRLAA_21L1_PT961,QRLAA_21L1_PT991,QRLAB_19L1_TT947,QRLAA_21L1_TT961,QRLAB_19L1_QBS947,QRLAB_19L1_FT947,LQATI_20L1_TC847,QRLAB_19L1_TC947
469,81,ARC,Q19,QRLAB_19L1_X43,4,53,7,0.39,35,9,LBALB_19L1_EH843,LBALB_19L1_TT843,QRLAB_19L1_CV943,0,QRLAA_17L1_PT961,QRLAA_17L1_PT991,QRLAB_19L1_TT943,QRLAA_17L1_TT961,QRLAB_19L1_QBS943,QRLAB_19L1_FT943,LBALB_19L1_TC843,QRLAB_19L1_TC943
470,81,ARC,Q18,QRLAA_17L1_X47,4,53,7,0.39,31,10,LQATI_18L1_EH847,LQATI_18L1_TT847,QRLAA_17L1_CV947,0,QRLAA_17L1_PT961,QRLAA_17L1_PT991,QRLAA_17L1_TT947,QRLAA_17L1_TT961,QRLAA_17L1_QBS947,QRLAA_17L1_FT947,LQATI_18L1_TC847,QRLAA_17L1_TC947
471,81,ARC,Q17,QRLAA_17L1_X43,4,53,7,0.39,34,10,LBALB_17L1_EH843,LBALB_17L1_TT843,QRLAA_17L1_CV943,0,QRLAA_17L1_PT961,QRLAA_17L1_PT991,QRLAA_17L1_TT943,QRLAA_17L1_TT961,QRLAA_17L1_QBS943,QRLAA_17L1_FT943,LBALB_17L1_TC843,QRLAA_17L1_TC943
472,81,ARC,Q16,QRLAB_15L1_X47,4,53,7,0.39,35,9,LQATI_16L1_EH847,LQATI_16L1_TT847,QRLAB_15L1_CV947,0,QRLAA_17L1_PT961,QRLAA_17L1_PT991,QRLAB_15L1_TT947,QRLAA_17L1_TT961,QRLAB_15L1_QBS947,QRLAB_15L1_FT947,LQATI_16L1_TC847,QRLAB_15L1_TC947
473,81,ARC,Q15,QRLAB_15L1_X43,4,53,7,0.39,31,9,LBALB_15L1_EH843,LBALB_15L1_TT843,QRLAB_15L1_CV943,0,QRLAA_13L1_PT961,QRLAA_13L1_PT991,QRLAB_15L1_TT943,QRLAA_13L1_TT961,QRLAB_15L1_QBS943,QRLAB_15L1_FT943,LBALB_15L1_TC843,QRLAB_15L1_TC943
474,81,ARC,Q14,QRLAA_13L1_X47,4,53,7,0.39,26,9,LQATI_14L1_EH847,LQATI_14L1_TT847,QRLAA_13L1_CV947,0,QRLAA_13L1_PT961,QRLAA_13L1_PT991,QRLAA_13L1_TT947,QRLAA_13L1_TT961,QRLAA_13L1_QBS947,QRLAA_13L1_FT947,LQATI_14L1_TC847,QRLAA_13L1_TC947
475,81,ARC,Q13,QRLAA_13L1_X43,4,53,7,0.39,35,9,LBALB_13L1_EH843,LBALB_13L1_TT843,QRLAA_13L1_CV943,0,QRLAA_13L1_PT961,QRLAA_13L1_PT991,QRLAA_13L1_TT943,QRLAA_13L1_TT961,QRLAA_13L1_QBS943,QRLAA_13L1_FT943,LBALB_13L1_TC843,QRLAA_13L1_TC943
476,81,ARC,Q12,QRLAB_11L1_X47,4,53,7,0.39,38,9,LQATI_12L1_EH847,LQATI_12L1_TT847,QRLAB_11L1_CV947,0,QRLAA_13L1_PT961,QRLAA_13L1_PT991,QRLAB_11L1_TT947,QRLAA_13L1_TT961,QRLAB_11L1_QBS947,QRLAB_11L1_FT947,LQATI_12L1_TC847,QRLAB_11L1_TC947
477,81,ARC,Q11,QRLAB_11L1_X43,4,45,7,0.39,33,8,LBBLP_11L1_EH843,LBBLP_11L1_TT843,QRLAB_11L1_CV943,0,QRLBA_09L1_PT961,QRLBA_09L1_PT991,QRLAB_11L1_TT943,QRLAA_13L1_TT961,QRLAB_11L1_QBS943,QRLAB_11L1_FT943,LBBLP_11L1_TC843,QRLAB_11L1_TC943
478,81,ARC,Q10,QRLBA_09L1_X47,4,45,7,0.39,38,10,LQNCB_10L1_EH847,LQNCB_10L1_TT847,QRLBA_09L1_CV947,0,QRLBA_09L1_PT961,QRLBA_09L1_PT991,QRLBA_09L1_TT947,QRLAA_13L1_TT961,QRLBA_09L1_QBS947,QRLBA_09L1_FT947,LQNCB_10L1_TC847,QRLBA_09L1_TC947
479,81,ARC,Q9,QRLBA_09L1_X43,4,45,7,0.39,55,9,LBBLF_09L1_EH843,LBBLF_09L1_TT843,QRLBA_09L1_CV943,0,QRLBA_09L1_PT961,QRLBA_09L1_PT991,QRLBA_09L1_TT943,QRLAA_13L1_TT961,QRLBA_09L1_QBS943,QRLBA_09L1_FT943,LBBLF_09L1_TC843,QRLBA_09L1_TC943
480,81,LSS,Q8,QRLCF_07L1_X43,4,40,7,0.22,65,12,LQNCB_08L1_EH847,LQNCB_08L1_TT847,QRLCF_07L1_CV943,QRLCF_07L1_CV947,QRLBA_09L1_PT961,QRLBA_09L1_PT991,QRLCF_07L1_TT943,QRLAA_13L1_TT961,QRLCF_07L1_QBS947,QRLCF_07L1_FT947,LQNCB_08L1_TC847,QRLCF_07L1_TC943
481,81,LSS,Q7,QRLCF_07L1_X45,4,13.5,7,0.22,44,8,LQNFJ_07L1_EH845,LQNFJ_07L1_TT845,QRLCF_07L1_CV945,0,QRLBA_09L1_PT961,QRLBA_09L1_PT991,QRLCF_07L1_TT945,QRLAA_13L1_TT961,QRLCF_07L1_QBS945,QRLCF_07L1_FT945,LQNFJ_07L1_TC845,QRLCF_07L1_TC945
482,81,LSS,Q6,QRLEC_06L1_X47,4,16,7,0.31,0,50,LQNDD_06L1_EH847,LQNDD_06L1_TT847A,QRLEC_06L1_CV947,0,QRLEC_06L1_PT961,QRLEC_06L1_PT991,QRLEC_06L1_TT947,QRLEC_06L1_TT961,QRLEC_06L1_QBS947,QRLEC_06L1_FT947,LQNDD_06L1_TC847,QRLEC_06L1_TC947
483,81,LSS,Q5,QRLEC_05L1_X47,4,16,5,0.27,0,41,LQNDC_05L1_EH847,LQNDC_05L1_TT847A,QRLEC_05L1_CV947,0,QRLEC_05L1_PT961,QRLEC_05L1_PT991,QRLEC_05L1_TT947,QRLEC_05L1_TT961,QRLEC_05L1_QBS947,QRLEC_05L1_FT947,LQNDC_05L1_TC847,QRLEC_05L1_TC947
484,81,LSS,D2Q4,QRLFD_04L1_X47,4,39,3,0.16,0,50,LQYCF_04L1_EH847,LQYCF_04L1_TT847A,QRLFD_04L1_CV947,0,QRLFD_04L1_PT961,QRLFD_04L1_PT991,QRLFD_04L1_TT947,QRLFD_04L1_TT961,QRLFD_04L1_QBS947,QRLFD_04L1_FT947,LQYCF_04L1_TC847,QRLFD_04L1_TC947
485,81,LSS,Q1Q2Q3,QRLGA_03L1_X47,2,35,7,0.26,19,9,LQXAB_01L1_EH847,LQXAB_01L1_TT847A,QRLGA_03L1_CV947,0,QRLGA_03L1_PT961,QRLGA_03L1_PT991,QRLGA_03L1_TT947,QRLGA_03L1_TT961,QRLGA_03L1_QBS947,QRLGA_03L1_FT947,LQXAB_01L1_TC847,QRLGA_03L1_TC947
