Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow,TC84x,TC94x,rms rel error
464,81,ARC,Q24,QRLAB_23L1_X47,LQOAH_24L1_EH847.POSST,LQOAH_24L1_TT847.POSST,QRLAB_23L1_CV947.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAB_23L1_TT947.POSST,QRLAA_25L1_TT961.POSST,5,50,0.39,4,53,QRLAB_23L1_QBS947.POSST,QRLAB_23L1_FT947.POSST,LQOAH_24L1_TC847,QRLAB_23L1_TC947,5
465,81,ARC,Q23,QRLAB_23L1_X43,LBALB_23L1_EH843.POSST,LBALB_23L1_TT843.POSST,QRLAB_23L1_CV943.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAB_23L1_TT943.POSST,QRLAA_21L1_TT961.POSST,5,43,0.39,4,53,QRLAB_23L1_QBS943.POSST,QRLAB_23L1_FT943.POSST,LBALB_23L1_TC843,QRLAB_23L1_TC943,9
466,81,ARC,Q22,QRLAA_21L1_X47,LQOAH_22L1_EH847.POSST,LQOAH_22L1_TT847.POSST,QRLAA_21L1_CV947.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAA_21L1_TT947.POSST,QRLAA_21L1_TT961.POSST,5,78,0.39,4,53,QRLAA_21L1_QBS947.POSST,QRLAA_21L1_FT947.POSST,LQOAH_22L1_TC847,QRLAA_21L1_TC947,5
467,81,ARC,Q21,QRLAA_21L1_X43,LBALB_21L1_EH843.POSST,LBALB_21L1_TT843.POSST,QRLAA_21L1_CV943.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAA_21L1_TT943.POSST,QRLAA_21L1_TT961.POSST,5,47,0.39,4,53,QRLAA_21L1_QBS943.POSST,QRLAA_21L1_FT943.POSST,LBALB_21L1_TC843,QRLAA_21L1_TC943,20
468,81,ARC,Q20,QRLAB_19L1_X47,LQATI_20L1_EH847.POSST,LQATI_20L1_TT847.POSST,QRLAB_19L1_CV947.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAB_19L1_TT947.POSST,QRLAA_21L1_TT961.POSST,5,34,0.39,4,53,QRLAB_19L1_QBS947.POSST,QRLAB_19L1_FT947.POSST,LQATI_20L1_TC847,QRLAB_19L1_TC947,2
469,81,ARC,Q19,QRLAB_19L1_X43,LBALB_19L1_EH843.POSST,LBALB_19L1_TT843.POSST,QRLAB_19L1_CV943.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAB_19L1_TT943.POSST,QRLAA_17L1_TT961.POSST,5,39,0.39,4,53,QRLAB_19L1_QBS943.POSST,QRLAB_19L1_FT943.POSST,LBALB_19L1_TC843,QRLAB_19L1_TC943,2
470,81,ARC,Q18,QRLAA_17L1_X47,LQATI_18L1_EH847.POSST,LQATI_18L1_TT847.POSST,QRLAA_17L1_CV947.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAA_17L1_TT947.POSST,QRLAA_17L1_TT961.POSST,5,43,0.39,4,53,QRLAA_17L1_QBS947.POSST,QRLAA_17L1_FT947.POSST,LQATI_18L1_TC847,QRLAA_17L1_TC947,23
471,81,ARC,Q17,QRLAA_17L1_X43,LBALB_17L1_EH843.POSST,LBALB_17L1_TT843.POSST,QRLAA_17L1_CV943.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAA_17L1_TT943.POSST,QRLAA_17L1_TT961.POSST,5,40,0.39,4,53,QRLAA_17L1_QBS943.POSST,QRLAA_17L1_FT943.POSST,LBALB_17L1_TC843,QRLAA_17L1_TC943,11
472,81,ARC,Q16,QRLAB_15L1_X47,LQATI_16L1_EH847.POSST,LQATI_16L1_TT847.POSST,QRLAB_15L1_CV947.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAB_15L1_TT947.POSST,QRLAA_17L1_TT961.POSST,5,28,0.39,4,53,QRLAB_15L1_QBS947.POSST,QRLAB_15L1_FT947.POSST,LQATI_16L1_TC847,QRLAB_15L1_TC947,31
473,81,ARC,Q15,QRLAB_15L1_X43,LBALB_15L1_EH843.POSST,LBALB_15L1_TT843.POSST,QRLAB_15L1_CV943.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAB_15L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,38,0.39,4,53,QRLAB_15L1_QBS943.POSST,QRLAB_15L1_FT943.POSST,LBALB_15L1_TC843,QRLAB_15L1_TC943,0
474,81,ARC,Q14,QRLAA_13L1_X47,LQATI_14L1_EH847.POSST,LQATI_14L1_TT847.POSST,QRLAA_13L1_CV947.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAA_13L1_TT947.POSST,QRLAA_13L1_TT961.POSST,5,32,0.39,4,53,QRLAA_13L1_QBS947.POSST,QRLAA_13L1_FT947.POSST,LQATI_14L1_TC847,QRLAA_13L1_TC947,17
475,81,ARC,Q13,QRLAA_13L1_X43,LBALB_13L1_EH843.POSST,LBALB_13L1_TT843.POSST,QRLAA_13L1_CV943.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAA_13L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,45,0.39,4,53,QRLAA_13L1_QBS943.POSST,QRLAA_13L1_FT943.POSST,LBALB_13L1_TC843,QRLAA_13L1_TC943,10
476,81,ARC,Q12,QRLAB_11L1_X47,LQATI_12L1_EH847.POSST,LQATI_12L1_TT847.POSST,QRLAB_11L1_CV947.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAB_11L1_TT947.POSST,QRLAA_13L1_TT961.POSST,5,49,0.39,4,53,QRLAB_11L1_QBS947.POSST,QRLAB_11L1_FT947.POSST,LQATI_12L1_TC847,QRLAB_11L1_TC947,5
477,81,ARC,Q11,QRLAB_11L1_X43,LBBLP_11L1_EH843.POSST,LBBLP_11L1_TT843.POSST,QRLAB_11L1_CV943.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLAB_11L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,37,0.39,4,45,QRLAB_11L1_QBS943.POSST,QRLAB_11L1_FT943.POSST,LBBLP_11L1_TC843,QRLAB_11L1_TC943,10
478,81,ARC,Q10,QRLBA_09L1_X47,LQNCB_10L1_EH847.POSST,LQNCB_10L1_TT847.POSST,QRLBA_09L1_CV947.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLBA_09L1_TT947.POSST,QRLAA_13L1_TT961.POSST,5,46,0.39,4,45,QRLBA_09L1_QBS947.POSST,QRLBA_09L1_FT947.POSST,LQNCB_10L1_TC847,QRLBA_09L1_TC947,9
479,81,ARC,Q9,QRLBA_09L1_X43,LBBLF_09L1_EH843.POSST,LBBLF_09L1_TT843.POSST,QRLBA_09L1_CV943.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLBA_09L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,57,0.39,4,45,QRLBA_09L1_QBS943.POSST,QRLBA_09L1_FT943.POSST,LBBLF_09L1_TC843,QRLBA_09L1_TC943,22
480,81,LSS,Q8,QRLCF_07L1_X43,LQNCB_08L1_EH847.POSST,LQNCB_08L1_TT847.POSST,QRLCF_07L1_CV943.POSST,QRLCF_07L1_CV947.POSST,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLCF_07L1_TT943.POSST,QRLAA_13L1_TT961.POSST,7,50,0.22,4,40,QRLCF_07L1_QBS947.POSST,QRLCF_07L1_FT947.POSST,LQNCB_08L1_TC847,QRLCF_07L1_TC943,x
481,81,LSS,Q7,QRLCF_07L1_X45,LQNFJ_07L1_EH845.POSST,LQNFJ_07L1_TT845.POSST,QRLCF_07L1_CV945.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLCF_07L1_TT945.POSST,QRLAA_13L1_TT961.POSST,0,40,0.22,4,13.5,QRLCF_07L1_QBS945.POSST,QRLCF_07L1_FT945.POSST,LQNFJ_07L1_TC845,QRLCF_07L1_TC945,x
482,81,LSS,Q6,QRLEC_06L1_X47,LQNDD_06L1_EH847.POSST,LQNDD_06L1_TT847A.POSST,QRLEC_06L1_CV947.POSST,0,QRLEC_06L1_PT961.POSST,QRLEC_06L1_PT991.POSST,QRLEC_06L1_TT947.POSST,QRLEC_06L1_TT961.POSST,6,50,0.05,2,16,QRLEC_06L1_QBS947.POSST,QRLEC_06L1_FT947.POSST,LQNDD_06L1_TC847,QRLEC_06L1_TC947,4
483,81,LSS,Q5,QRLEC_05L1_X47,LQNDC_05L1_EH847.POSST,LQNDC_05L1_TT847A.POSST,QRLEC_05L1_CV947.POSST,0,QRLEC_05L1_PT961.POSST,QRLEC_05L1_PT991.POSST,QRLEC_05L1_TT947.POSST,QRLEC_05L1_TT961.POSST,0,20,0.05,2,16,QRLEC_05L1_QBS947.POSST,QRLEC_05L1_FT947.POSST,LQNDC_05L1_TC847,QRLEC_05L1_TC947,25
484,81,LSS,D2Q4,QRLFD_04L1_X47,LQYCF_04L1_EH847.POSST,LQYCF_04L1_TT847A.POSST,QRLFD_04L1_CV947.POSST,0,QRLFD_04L1_PT961.POSST,QRLFD_04L1_PT991.POSST,QRLFD_04L1_TT947.POSST,QRLFD_04L1_TT961.POSST,5,60,0.1,2,39,QRLFD_04L1_QBS947.POSST,QRLFD_04L1_FT947.POSST,LQYCF_04L1_TC847,QRLFD_04L1_TC947,4
485,81,LSS,Q1Q2Q3,QRLGA_03L1_X47,LQXAB_01L1_EH847.POSST,LQXAB_01L1_TT847A.POSST,QRLGA_03L1_CV947.POSST,0,QRLGA_03L1_PT961.POSST,QRLGA_03L1_PT991.POSST,QRLGA_03L1_TT947.POSST,QRLGA_03L1_TT961.POSST,5,30,0.26,2,35,QRLGA_03L1_QBS947.POSST,QRLGA_03L1_FT947.POSST,LQXAB_01L1_TC847,QRLGA_03L1_TC947,20
