Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow,TC84x,TC94x,rms rel error
368,78,ARC,Q11,QRLAB_11R7_X43,LBARB_12R7_EH843.POSST,LBARB_12R7_TT843.POSST,QRLAB_11R7_CV943.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAB_11R7_TT943.POSST,QRLAA_13R7_TT961.POSST,5,59,0.39,4,53,QRLAB_11R7_QBS943.POSST,QRLAB_11R7_FT943.POSST,LBARB_12R7_TC843,QRLAB_11R7_TC943,3
369,78,ARC,Q12,QRLAA_13R7_X47,LQATH_12R7_EH847.POSST,LQATH_12R7_TT847.POSST,QRLAA_13R7_CV947.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAA_13R7_TT947.POSST,QRLAA_13R7_TT961.POSST,5,39,0.39,4,53,QRLAA_13R7_QBS947.POSST,QRLAA_13R7_FT947.POSST,LQATH_12R7_TC847,QRLAA_13R7_TC947,5
370,78,ARC,Q13,QRLAA_13R7_X43,LBARB_14R7_EH843.POSST,LBARB_14R7_TT843.POSST,QRLAA_13R7_CV943.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAA_13R7_TT943.POSST,QRLAA_13R7_TT961.POSST,5,33,0.39,4,53,QRLAA_13R7_QBS943.POSST,QRLAA_13R7_FT943.POSST,LBARB_14R7_TC843,QRLAA_13R7_TC943,5
371,78,ARC,Q14,QRLAB_15R7_X47,LQATH_14R7_EH847.POSST,LQATH_14R7_TT847.POSST,QRLAB_15R7_CV947.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAB_15R7_TT947.POSST,QRLAA_13R7_TT961.POSST,5,51,0.39,4,53,QRLAB_15R7_QBS947.POSST,QRLAB_15R7_FT947.POSST,LQATH_14R7_TC847,QRLAB_15R7_TC947,8
372,78,ARC,Q15,QRLAB_15R7_X43,LBARB_16R7_EH843.POSST,LBARB_16R7_TT843.POSST,QRLAB_15R7_CV943.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAB_15R7_TT943.POSST,QRLAA_17R7_TT961.POSST,5,45,0.39,4,53,QRLAB_15R7_QBS943.POSST,QRLAB_15R7_FT943.POSST,LBARB_16R7_TC843,QRLAB_15R7_TC943,4
373,78,ARC,Q16,QRLAA_17R7_X47,LQATH_16R7_EH847.POSST,LQATH_16R7_TT847.POSST,QRLAA_17R7_CV947.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAA_17R7_TT947.POSST,QRLAA_17R7_TT961.POSST,5,44,0.39,4,53,QRLAA_17R7_QBS947.POSST,QRLAA_17R7_FT947.POSST,LQATH_16R7_TC847,QRLAA_17R7_TC947,3
374,78,ARC,Q17,QRLAA_17R7_X43,LBARB_18R7_EH843.POSST,LBARB_18R7_TT843.POSST,QRLAA_17R7_CV943.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAA_17R7_TT943.POSST,QRLAA_17R7_TT961.POSST,5,34,0.39,4,53,QRLAA_17R7_QBS943.POSST,QRLAA_17R7_FT943.POSST,LBARB_18R7_TC843,QRLAA_17R7_TC943,0
375,78,ARC,Q18,QRLAB_19R7_X47,LQATH_18R7_EH847.POSST,LQATH_18R7_TT847.POSST,QRLAB_19R7_CV947.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAB_19R7_TT947.POSST,QRLAA_17R7_TT961.POSST,5,63,0.39,4,53,QRLAB_19R7_QBS947.POSST,QRLAB_19R7_FT947.POSST,LQATH_18R7_TC847,QRLAB_19R7_TC947,13
376,78,ARC,Q19,QRLAB_19R7_X43,LBARB_20R7_EH843.POSST,LBARB_20R7_TT843.POSST,QRLAB_19R7_CV943.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAB_19R7_TT943.POSST,QRLAA_21R7_TT961.POSST,5,44,0.39,4,53,QRLAB_19R7_QBS943.POSST,QRLAB_19R7_FT943.POSST,LBARB_20R7_TC843,QRLAB_19R7_TC943,12
377,78,ARC,Q20,QRLAA_21R7_X47,LQATH_20R7_EH847.POSST,LQATH_20R7_TT847.POSST,QRLAA_21R7_CV947.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAA_21R7_TT947.POSST,QRLAA_21R7_TT961.POSST,5,35,0.39,4,53,QRLAA_21R7_QBS947.POSST,QRLAA_21R7_FT947.POSST,LQATH_20R7_TC847,QRLAA_21R7_TC947,1
378,78,ARC,Q21,QRLAA_21R7_X43,LBARB_22R7_EH843.POSST,LBARB_22R7_TT843.POSST,QRLAA_21R7_CV943.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAA_21R7_TT943.POSST,QRLAA_21R7_TT961.POSST,5,47,0.39,4,53,QRLAA_21R7_QBS943.POSST,QRLAA_21R7_FT943.POSST,LBARB_22R7_TC843,QRLAA_21R7_TC943,6
379,78,ARC,Q22,QRLAB_23R7_X47,LQOAG_22R7_EH847.POSST,LQOAG_22R7_TT847.POSST,QRLAB_23R7_CV947.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAB_23R7_TT947.POSST,QRLAA_21R7_TT961.POSST,5,46,0.39,4,53,QRLAB_23R7_QBS947.POSST,QRLAB_23R7_FT947.POSST,LQOAG_22R7_TC847,QRLAB_23R7_TC947,10
380,78,ARC,Q23,QRLAB_23R7_X43,LBARB_24R7_EH843.POSST,LBARB_24R7_TT843.POSST,QRLAB_23R7_CV943.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAB_23R7_TT943.POSST,QRLAA_25R7_TT961.POSST,5,36,0.39,4,53,QRLAB_23R7_QBS943.POSST,QRLAB_23R7_FT943.POSST,LBARB_24R7_TC843,QRLAB_23R7_TC943,2
