Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
360,67,LSS,Q8,QRLCC_07L7_X47,LQTCO_08L7_EH847.POSST,LQTCO_08L7_TT847.POSST,QRLCC_07L7_CV947.POSST,QRLCC_07L7_CV943.POSST,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLCC_07L7_TT947.POSST,QRLBA_09L7_TT961.POSST,2,50,0.22,4,40,QRLCC_07L7_QBS947.POSST,QRLCC_07L7_FT947.POSST
361,67,LSS,Q7,QRLCC_07L7_X45,LQTAD_07L7_EH845.POSST,LQTAD_07L7_TT845.POSST,QRLCC_07L7_CV945.POSST,0,QRLBA_09L7_PT961.POSST,QRLBA_09L7_PT991.POSST,QRLCC_07L7_TT945.POSST,QRLBA_09L7_TT961.POSST,2,50,0.22,4,13.5,QRLCC_07L7_QBS945.POSST,QRLCC_07L7_FT945.POSST
362,67,LSS,Q6,QRLEA_06L7_X47,LQTFA_06L7_EH847.POSST,LQTFA_06L7_TT847A.POSST,QRLEA_06L7_CV947.POSST,0,QRLEA_06L7_PT961.POSST,QRLEA_06L7_PT991.POSST,QRLEA_06L7_TT947.POSST,QRLEA_06L7_TT961.POSST,5,100,0.03,4,12,QRLEA_06L7_QBS947.POSST,QRLEA_06L7_FT947.POSST
363,78,LSS,Q6,QRLEA_06R7_X47,LQTFB_06R7_EH847.POSST,LQTFB_06R7_TT847A.POSST,QRLEA_06R7_CV947.POSST,0,QRLEA_06R7_PT961.POSST,QRLEA_06R7_PT991.POSST,QRLEA_06R7_TT947.POSST,QRLEA_06R7_TT961.POSST,5.2,40,0.03,4,12,QRLEA_06R7_QBS947.POSST,QRLEA_06R7_FT947.POSST
364,78,LSS,Q7,QRLCH_07R7_X43,LBBRB_08R7_EH843.POSST,LBBRB_08R7_TT843.POSST,QRLCH_07R7_CV943.POSST,QRLCH_07R7_CV947.POSST,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLCH_07R7_TT943.POSST,QRLBA_09R7_TT961.POSST,7,50,0.26,4,40,QRLCH_07R7_QBS943.POSST,QRLCH_07R7_FT943.POSST
365,78,ARC,Q8,QRLBA_09R7_X47,LQTBB_08R7_EH847.POSST,LQTBB_08R7_TT847.POSST,QRLBA_09R7_CV947.POSST,0,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLBA_09R7_TT947.POSST,QRLBA_09R7_TT961.POSST,5,39,0.39,4,45,QRLBA_09R7_QBS947.POSST,QRLBA_09R7_FT947.POSST
366,78,ARC,Q9,QRLBA_09R7_X43,LBBRB_10R7_EH843.POSST,LBBRB_10R7_TT843.POSST,QRLBA_09R7_CV943.POSST,0,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLBA_09R7_TT943.POSST,QRLBA_09R7_TT961.POSST,5,46,0.39,4,45,QRLBA_09R7_QBS943.POSST,QRLBA_09R7_FT943.POSST
367,78,ARC,Q10,QRLAB_11R7_X47,LQTBB_10R7_EH847.POSST,LQTBB_10R7_TT847.POSST,QRLAB_11R7_CV947.POSST,0,QRLBA_09R7_PT961.POSST,QRLBA_09R7_PT991.POSST,QRLAB_11R7_TT947.POSST,QRLBA_09R7_TT961.POSST,5,52,0.39,4,45,QRLAB_11R7_QBS947.POSST,QRLAB_11R7_FT947.POSST
368,78,ARC,Q11,QRLAB_11R7_X43,LBARB_12R7_EH843.POSST,LBARB_12R7_TT843.POSST,QRLAB_11R7_CV943.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAB_11R7_TT943.POSST,QRLAA_13R7_TT961.POSST,5,59,0.39,4,53,QRLAB_11R7_QBS943.POSST,QRLAB_11R7_FT943.POSST
369,78,ARC,Q12,QRLAA_13R7_X47,LQATH_12R7_EH847.POSST,LQATH_12R7_TT847.POSST,QRLAA_13R7_CV947.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAA_13R7_TT947.POSST,QRLAA_13R7_TT961.POSST,5,39,0.39,4,53,QRLAA_13R7_QBS947.POSST,QRLAA_13R7_FT947.POSST
370,78,ARC,Q13,QRLAA_13R7_X43,LBARB_14R7_EH843.POSST,LBARB_14R7_TT843.POSST,QRLAA_13R7_CV943.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAA_13R7_TT943.POSST,QRLAA_13R7_TT961.POSST,5,33,0.39,4,53,QRLAA_13R7_QBS943.POSST,QRLAA_13R7_FT943.POSST
371,78,ARC,Q14,QRLAB_15R7_X47,LQATH_14R7_EH847.POSST,LQATH_14R7_TT847.POSST,QRLAB_15R7_CV947.POSST,0,QRLAA_13R7_PT961.POSST,QRLAA_13R7_PT991.POSST,QRLAB_15R7_TT947.POSST,QRLAA_13R7_TT961.POSST,5,51,0.39,4,53,QRLAB_15R7_QBS947.POSST,QRLAB_15R7_FT947.POSST
372,78,ARC,Q15,QRLAB_15R7_X43,LBARB_16R7_EH843.POSST,LBARB_16R7_TT843.POSST,QRLAB_15R7_CV943.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAB_15R7_TT943.POSST,QRLAA_17R7_TT961.POSST,5,45,0.39,4,53,QRLAB_15R7_QBS943.POSST,QRLAB_15R7_FT943.POSST
373,78,ARC,Q16,QRLAA_17R7_X47,LQATH_16R7_EH847.POSST,LQATH_16R7_TT847.POSST,QRLAA_17R7_CV947.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAA_17R7_TT947.POSST,QRLAA_17R7_TT961.POSST,5,44,0.39,4,53,QRLAA_17R7_QBS947.POSST,QRLAA_17R7_FT947.POSST
374,78,ARC,Q17,QRLAA_17R7_X43,LBARB_18R7_EH843.POSST,LBARB_18R7_TT843.POSST,QRLAA_17R7_CV943.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAA_17R7_TT943.POSST,QRLAA_17R7_TT961.POSST,5,34,0.39,4,53,QRLAA_17R7_QBS943.POSST,QRLAA_17R7_FT943.POSST
375,78,ARC,Q18,QRLAB_19R7_X47,LQATH_18R7_EH847.POSST,LQATH_18R7_TT847.POSST,QRLAB_19R7_CV947.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAB_19R7_TT947.POSST,QRLAA_17R7_TT961.POSST,5,63,0.39,4,53,QRLAB_19R7_QBS947.POSST,QRLAB_19R7_FT947.POSST
