Nb,Sector,Type,magnet,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
454,81,ARC,Q34,QRLAA_33L1_X47,LQOAN_34R8_EH847.POSST,LQOAN_34R8_TT847.POSST,QRLAA_33L1_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAA_33L1_TT947.POSST,QRLAA_33L1_TT961.POSST,5,44,0.39,4,53,QRLAA_33L1_QBS947.POSST,QRLAA_33L1_FT947.POSST
455,81,ARC,Q33,QRLAA_33L1_X43,LBALB_33L1_EH843.POSST,LBALB_33L1_TT843.POSST,QRLAA_33L1_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAA_33L1_TT943.POSST,QRLAA_33L1_TT961.POSST,5,39,0.39,4,53,QRLAA_33L1_QBS943.POSST,QRLAA_33L1_FT943.POSST
456,81,ARC,Q32,QRLAB_31L1_X47,LQOAN_32L1_EH847.POSST,LQOAN_32L1_TT847.POSST,QRLAB_31L1_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAB_31L1_TT947.POSST,QRLAA_33L1_TT961.POSST,5,41,0.39,4,53,QRLAB_31L1_QBS947.POSST,QRLAB_31L1_FT947.POSST
457,81,ARC,Q31,QRLAB_31L1_X43,LBALB_31L1_EH843.POSST,LBALB_31L1_TT843.POSST,QRLAB_31L1_CV943.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAB_31L1_TT943.POSST,QRLAA_29L1_TT961.POSST,5,40,0.39,4,53,QRLAB_31L1_QBS943.POSST,QRLAB_31L1_FT943.POSST
458,81,ARC,Q30,QRLAA_29L1_X47,LQOAH_30L1_EH847.POSST,LQOAH_30L1_TT847.POSST,QRLAA_29L1_CV947.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAA_29L1_TT947.POSST,QRLAA_29L1_TT961.POSST,5,40,0.39,4,53,QRLAA_29L1_QBS947.POSST,QRLAA_29L1_FT947.POSST
459,81,ARC,Q29,QRLAA_29L1_X43,LBALB_29L1_EH843.POSST,LBALB_29L1_TT843.POSST,QRLAA_29L1_CV943.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAA_29L1_TT943.POSST,QRLAA_29L1_TT961.POSST,5,59,0.39,4,53,QRLAA_29L1_QBS943.POSST,QRLAA_29L1_FT943.POSST
460,81,ARC,Q28,QRLAB_27L1_X47,LQOAN_28L1_EH847.POSST,LQOAN_28L1_TT847.POSST,QRLAB_27L1_CV947.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAB_27L1_TT947.POSST,QRLAA_29L1_TT961.POSST,5,49,0.39,4,53,QRLAB_27L1_QBS947.POSST,QRLAB_27L1_FT947.POSST
461,81,ARC,Q27,QRLAB_27L1_X43,LBALB_27L1_EH843.POSST,LBALB_27L1_TT843.POSST,QRLAB_27L1_CV943.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAB_27L1_TT943.POSST,QRLAA_25L1_TT961.POSST,5,38,0.39,4,53,QRLAB_27L1_QBS943.POSST,QRLAB_27L1_FT943.POSST
462,81,ARC,Q26,QRLAA_25L1_X47,LQOAH_26L1_EH847.POSST,LQOAH_26L1_TT847.POSST,QRLAA_25L1_CV947.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAA_25L1_TT947.POSST,QRLAA_25L1_TT961.POSST,5,42,0.39,4,53,QRLAA_25L1_QBS947.POSST,QRLAA_25L1_FT947.POSST
463,81,ARC,Q25,QRLAA_25L1_X43,LBALB_25L1_EH843.POSST,LBALB_25L1_TT843.POSST,QRLAA_25L1_CV943.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAA_25L1_TT943.POSST,QRLAA_25L1_TT961.POSST,5,53,0.39,4,53,QRLAA_25L1_QBS943.POSST,QRLAA_25L1_FT943.POSST
464,81,ARC,Q24,QRLAB_23L1_X47,LQOAH_24L1_EH847.POSST,LQOAH_24L1_TT847.POSST,QRLAB_23L1_CV947.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAB_23L1_TT947.POSST,QRLAA_25L1_TT961.POSST,5,50,0.39,4,53,QRLAB_23L1_QBS947.POSST,QRLAB_23L1_FT947.POSST
465,81,ARC,Q23,QRLAB_23L1_X43,LBALB_23L1_EH843.POSST,LBALB_23L1_TT843.POSST,QRLAB_23L1_CV943.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAB_23L1_TT943.POSST,QRLAA_21L1_TT961.POSST,5,43,0.39,4,53,QRLAB_23L1_QBS943.POSST,QRLAB_23L1_FT943.POSST
466,81,ARC,Q22,QRLAA_21L1_X47,LQOAH_22L1_EH847.POSST,LQOAH_22L1_TT847.POSST,QRLAA_21L1_CV947.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAA_21L1_TT947.POSST,QRLAA_21L1_TT961.POSST,5,78,0.39,4,53,QRLAA_21L1_QBS947.POSST,QRLAA_21L1_FT947.POSST
467,81,ARC,Q21,QRLAA_21L1_X43,LBALB_21L1_EH843.POSST,LBALB_21L1_TT843.POSST,QRLAA_21L1_CV943.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAA_21L1_TT943.POSST,QRLAA_21L1_TT961.POSST,5,47,0.39,4,53,QRLAA_21L1_QBS943.POSST,QRLAA_21L1_FT943.POSST
468,81,ARC,Q20,QRLAB_19L1_X47,LQATI_20L1_EH847.POSST,LQATI_20L1_TT847.POSST,QRLAB_19L1_CV947.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAB_19L1_TT947.POSST,QRLAA_21L1_TT961.POSST,5,34,0.39,4,53,QRLAB_19L1_QBS947.POSST,QRLAB_19L1_FT947.POSST
469,81,ARC,Q19,QRLAB_19L1_X43,LBALB_19L1_EH843.POSST,LBALB_19L1_TT843.POSST,QRLAB_19L1_CV943.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAB_19L1_TT943.POSST,QRLAA_17L1_TT961.POSST,5,39,0.39,4,53,QRLAB_19L1_QBS943.POSST,QRLAB_19L1_FT943.POSST
470,81,ARC,Q18,QRLAA_17L1_X47,LQATI_18L1_EH847.POSST,LQATI_18L1_TT847.POSST,QRLAA_17L1_CV947.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAA_17L1_TT947.POSST,QRLAA_17L1_TT961.POSST,5,43,0.39,4,53,QRLAA_17L1_QBS947.POSST,QRLAA_17L1_FT947.POSST
471,81,ARC,Q17,QRLAA_17L1_X43,LBALB_17L1_EH843.POSST,LBALB_17L1_TT843.POSST,QRLAA_17L1_CV943.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAA_17L1_TT943.POSST,QRLAA_17L1_TT961.POSST,5,40,0.39,4,53,QRLAA_17L1_QBS943.POSST,QRLAA_17L1_FT943.POSST
472,81,ARC,Q16,QRLAB_15L1_X47,LQATI_16L1_EH847.POSST,LQATI_16L1_TT847.POSST,QRLAB_15L1_CV947.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAB_15L1_TT947.POSST,QRLAA_17L1_TT961.POSST,5,28,0.39,4,53,QRLAB_15L1_QBS947.POSST,QRLAB_15L1_FT947.POSST
473,81,ARC,Q15,QRLAB_15L1_X43,LBALB_15L1_EH843.POSST,LBALB_15L1_TT843.POSST,QRLAB_15L1_CV943.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAB_15L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,38,0.39,4,53,QRLAB_15L1_QBS943.POSST,QRLAB_15L1_FT943.POSST
474,81,ARC,Q14,QRLAA_13L1_X47,LQATI_14L1_EH847.POSST,LQATI_14L1_TT847.POSST,QRLAA_13L1_CV947.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAA_13L1_TT947.POSST,QRLAA_13L1_TT961.POSST,5,32,0.39,4,53,QRLAA_13L1_QBS947.POSST,QRLAA_13L1_FT947.POSST
475,81,ARC,Q13,QRLAA_13L1_X43,LBALB_13L1_EH843.POSST,LBALB_13L1_TT843.POSST,QRLAA_13L1_CV943.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAA_13L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,45,0.39,4,53,QRLAA_13L1_QBS943.POSST,QRLAA_13L1_FT943.POSST
476,81,ARC,Q12,QRLAB_11L1_X47,LQATI_12L1_EH847.POSST,LQATI_12L1_TT847.POSST,QRLAB_11L1_CV947.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAB_11L1_TT947.POSST,QRLAA_13L1_TT961.POSST,5,49,0.39,4,53,QRLAB_11L1_QBS947.POSST,QRLAB_11L1_FT947.POSST
477,81,ARC,Q11,QRLAB_11L1_X43,LBBLP_11L1_EH843.POSST,LBBLP_11L1_TT843.POSST,QRLAB_11L1_CV943.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLAB_11L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,37,0.39,4,45,QRLAB_11L1_QBS943.POSST,QRLAB_11L1_FT943.POSST
478,81,ARC,Q10,QRLBA_09L1_X47,LQNCB_10L1_EH847.POSST,LQNCB_10L1_TT847.POSST,QRLBA_09L1_CV947.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLBA_09L1_TT947.POSST,QRLAA_13L1_TT961.POSST,5,46,0.39,4,45,QRLBA_09L1_QBS947.POSST,QRLBA_09L1_FT947.POSST
479,81,ARC,Q9,QRLBA_09L1_X43,LBBLF_09L1_EH843.POSST,LBBLF_09L1_TT843.POSST,QRLBA_09L1_CV943.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLBA_09L1_TT943.POSST,QRLAA_13L1_TT961.POSST,5,57,0.39,4,45,QRLBA_09L1_QBS943.POSST,QRLBA_09L1_FT943.POSST
480,81,LSS,Q8,QRLCF_07L1_X43,LQNCB_08L1_EH847.POSST,LQNCB_08L1_TT847.POSST,QRLCF_07L1_CV947.POSST,QRLCF_07L1_CV943.POSST,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLCF_07L1_TT947.POSST,QRLAA_13L1_TT961.POSST,7,50,0.22,4,40,QRLCF_07L1_QBS947.POSST,QRLCF_07L1_FT947.POSST
481,81,LSS,Q7,QRLCF_07L1_X45,LQNFJ_07L1_EH845.POSST,LQNFJ_07L1_TT845.POSST,QRLCF_07L1_CV945.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLCF_07L1_TT945.POSST,QRLAA_13L1_TT961.POSST,0,40,0.22,4,13.5,QRLCF_07L1_QBS945.POSST,QRLCF_07L1_FT945.POSST
482,81,LSS,Q6,QRLEC_06L1_X47,LQNDD_06L1_EH847.POSST,LQNDD_06L1_TT847A.POSST,QRLEC_06L1_CV947.POSST,0,QRLEC_06L1_PT961.POSST,QRLEC_06L1_PT991.POSST,QRLEC_06L1_TT947.POSST,QRLEC_06L1_TT961.POSST,4.3,60,0.02,4,8.22,QRLEC_06L1_QBS947.POSST,QRLEC_06L1_FT947.POSST
483,81,LSS,Q5,QRLEC_05L1_X47,LQNDC_05L1_EH847.POSST,LQNDC_05L1_TT847A.POSST,QRLEC_05L1_CV947.POSST,0,QRLEC_05L1_PT961.POSST,QRLEC_05L1_PT991.POSST,QRLEC_05L1_TT947.POSST,QRLEC_05L1_TT961.POSST,0,50,0.02,4,8.22,QRLEC_05L1_QBS947.POSST,QRLEC_05L1_FT947.POSST
484,81,LSS,D2Q4,QRLFD_04L1_X47,LQYCF_04L1_EH847.POSST,LQYCF_04L1_TT847A.POSST,QRLFD_04L1_CV947.POSST,0,QRLFD_04L1_PT961.POSST,QRLFD_04L1_PT991.POSST,QRLFD_04L1_TT947.POSST,QRLFD_04L1_TT961.POSST,10,40,0.05,4,19.42,QRLFD_04L1_QBS947.POSST,QRLFD_04L1_FT947.POSST
485,81,LSS,Q1Q2Q3,QRLGA_03L1_X47,LQXAB_01L1_EH847.POSST,LQXAB_01L1_TT847A.POSST,QRLGA_03L1_CV947.POSST,0,QRLGA_03L1_PT961.POSST,QRLGA_03L1_PT991.POSST,QRLGA_03L1_TT947.POSST,QRLGA_03L1_TT961.POSST,5,30,0.26,2,35,QRLGA_03L1_QBS947.POSST,QRLGA_03L1_FT947.POSST
